ID,kmeans_cluster2,kmeans_cluster3,kmeans_cluster4,kmeans_cluster5,kmeans_cluster6,kmeans_cluster7,kmeans_cluster8,kmeans_cluster9,kmeans_cluster10
1,0,1,0,0,4,1,4,1,2
3,1,0,2,1,5,3,5,4,5
4,1,0,3,4,1,0,1,0,1
8,1,2,1,3,2,6,7,5,3
10,1,0,2,1,1,5,0,6,6
13,0,1,0,0,4,1,4,1,2
14,1,0,3,4,1,0,1,0,1
18,1,0,3,4,1,0,1,0,1
20,0,1,0,0,4,1,4,1,2
23,1,0,3,4,1,2,6,7,0
25,1,2,1,3,3,4,3,3,4
26,0,1,0,0,4,1,4,1,2
29,1,0,3,4,1,0,1,0,1
31,1,0,2,1,1,5,0,6,6
32,1,2,1,3,3,4,3,3,4
34,1,0,3,4,1,0,1,0,1
36,0,1,0,0,0,1,2,2,7
39,1,0,3,2,1,0,1,0,8
42,1,0,3,4,1,0,1,0,1
43,1,0,3,4,1,0,1,0,1
45,0,1,0,0,4,1,4,1,2
49,1,0,3,4,1,0,1,0,1
51,1,0,2,1,1,5,0,6,6
54,1,0,3,2,1,0,1,0,8
56,0,1,0,0,4,1,4,1,2
60,1,2,1,3,3,4,3,3,4
61,0,1,0,0,4,1,4,1,2
66,0,1,0,0,4,1,4,1,2
68,1,0,3,4,1,0,1,0,1
74,1,0,3,2,1,0,1,0,8
75,0,1,0,0,0,1,2,2,7
77,0,1,0,0,4,1,4,1,2
80,0,1,0,0,4,1,4,1,2
82,1,0,3,2,1,0,1,0,8
83,1,0,3,4,0,2,6,7,0
84,0,1,0,0,4,1,4,1,2
87,0,1,0,0,4,1,4,1,2
88,1,2,1,3,2,6,7,5,3
90,1,0,3,4,1,0,1,0,1
91,1,0,3,4,1,0,1,0,1
92,0,1,0,0,0,1,2,2,7
93,1,0,3,4,1,2,6,7,0
95,1,0,3,4,1,0,1,0,1
101,1,0,3,4,1,0,1,0,1
102,1,0,3,4,1,0,1,0,1
105,0,1,0,0,4,1,4,1,2
106,1,0,3,4,0,2,6,7,0
107,1,0,2,1,5,3,5,4,5
109,1,0,3,4,1,0,1,0,1
111,0,1,0,0,4,1,4,1,2
113,1,0,2,1,5,3,5,4,5
115,1,0,3,4,1,2,6,7,0
118,0,1,0,0,0,1,2,2,7
122,0,1,2,1,0,2,2,2,7
125,1,0,3,4,1,0,1,0,1
127,1,0,3,4,1,0,1,0,1
130,1,0,3,4,1,0,1,0,1
131,0,1,0,0,4,1,4,1,2
132,1,0,3,2,1,0,1,0,8
134,1,0,3,4,1,0,1,0,1
135,1,0,3,2,1,0,1,0,8
136,1,2,1,3,2,6,7,5,3
137,0,1,0,0,4,1,4,1,2
139,0,1,0,0,4,1,4,1,2
140,1,0,3,4,1,0,1,0,1
141,0,1,0,0,4,1,4,1,2
142,1,0,3,4,1,0,1,0,1
143,1,0,3,4,1,0,1,0,1
144,0,1,0,0,4,1,4,1,2
145,0,1,0,0,4,1,4,1,2
146,1,0,3,4,1,0,1,8,9
148,1,0,3,2,3,4,3,0,1
150,0,1,0,0,4,1,4,1,2
151,1,0,3,4,1,2,6,7,0
152,0,1,0,0,4,1,4,1,2
153,1,0,2,1,1,5,0,6,6
154,0,1,0,0,0,1,2,2,7
155,1,0,3,4,1,0,1,0,1
156,1,0,3,4,1,0,1,8,9
157,1,0,3,4,1,0,1,8,9
159,1,2,1,3,2,6,7,5,3
161,0,1,0,0,4,1,4,1,2
162,0,1,0,0,4,1,4,1,2
163,1,0,2,1,5,3,5,4,5
165,1,0,3,4,1,0,1,0,1
166,0,1,0,0,4,1,4,1,2
169,1,0,3,4,1,0,1,8,9
170,1,0,3,4,1,0,1,0,1
171,0,1,0,0,4,1,4,1,2
172,1,0,3,4,1,0,1,8,9
173,0,1,2,1,0,2,2,7,7
175,1,0,3,4,1,0,1,0,1
176,1,0,3,4,1,0,1,0,1
177,1,0,3,4,1,0,1,8,9
178,1,0,3,4,1,0,1,0,1
179,1,0,3,4,1,0,1,0,1
180,0,1,0,0,4,1,4,1,2
182,0,1,0,0,4,1,4,1,2
183,0,1,0,0,4,1,4,1,2
184,1,0,3,4,1,0,1,0,1
186,1,0,3,4,1,0,1,0,1
188,1,0,3,4,1,0,1,0,1
191,1,0,3,2,1,0,1,0,8
192,1,0,3,4,1,0,1,8,9
193,1,0,2,1,5,3,5,4,5
195,1,0,3,4,1,0,1,0,1
196,1,0,3,2,1,0,1,0,8
199,1,0,3,4,1,0,1,0,1
200,1,0,3,4,1,2,6,7,0
202,0,1,0,0,4,1,4,1,2
203,0,1,0,0,4,1,4,1,2
204,1,0,3,4,1,0,1,0,1
206,1,0,3,4,1,0,1,0,1
207,1,0,2,1,5,3,5,4,5
209,1,0,3,2,1,0,1,0,8
210,1,0,3,4,1,0,1,0,1
212,0,1,0,0,4,1,4,1,2
213,1,2,1,3,3,4,3,3,4
214,0,1,0,0,0,1,2,2,7
215,1,2,1,3,2,6,7,5,3
217,1,0,3,4,1,0,1,8,9
218,1,0,3,4,1,0,1,0,1
220,1,0,2,1,5,3,5,4,5
221,0,1,0,0,0,1,2,2,7
222,1,0,3,4,1,0,1,0,1
225,1,0,3,4,1,0,1,0,1
227,1,0,3,4,1,0,1,0,1
228,0,1,0,0,4,1,4,1,2
231,1,0,3,4,1,0,1,0,1
232,1,0,3,4,1,2,6,7,0
233,1,0,3,4,1,0,1,0,1
234,1,0,2,1,1,0,1,0,1
235,0,1,0,0,4,1,4,1,2
236,1,0,3,4,1,0,1,0,1
239,1,0,2,1,5,3,5,4,5
241,1,0,2,1,1,5,0,6,6
242,1,0,3,4,1,2,6,7,0
244,1,0,3,4,1,0,1,0,1
252,0,1,0,0,4,1,4,1,2
253,1,0,3,2,1,0,1,0,8
254,1,0,3,4,1,0,1,0,1
258,0,1,0,0,4,1,4,1,2
259,1,0,3,4,1,0,1,0,1
262,1,0,3,4,1,0,1,0,1
265,0,1,0,0,4,1,4,1,2
266,1,2,1,3,2,6,7,5,3
269,0,1,0,0,4,1,4,1,2
270,1,0,2,1,5,3,5,4,5
271,1,0,3,4,1,0,1,0,1
273,1,0,2,1,5,3,5,4,5
276,1,0,3,4,1,0,1,0,1
279,1,0,3,4,1,0,1,0,1
285,1,2,1,3,2,6,7,5,3
287,1,0,3,4,1,0,1,0,1
288,0,1,0,0,4,1,4,1,2
289,1,0,3,4,1,0,1,8,9
292,0,1,0,0,4,1,4,1,2
294,0,1,0,0,0,1,2,2,7
296,1,0,2,1,5,3,5,4,5
299,1,0,3,4,1,0,1,0,1
301,1,0,3,4,1,0,1,0,1
302,1,2,1,3,2,6,7,5,3
303,0,1,0,0,0,1,2,2,7
306,0,1,0,0,4,1,4,1,2
307,1,0,3,4,1,0,1,8,9
311,1,0,3,2,1,0,1,0,8
314,1,0,3,4,1,0,1,0,1
316,1,0,3,4,1,0,1,8,9
319,0,1,0,0,4,1,4,1,2
320,1,0,3,4,1,2,6,7,0
322,1,0,3,4,1,0,1,0,1
324,0,1,0,0,0,2,2,2,7
332,1,0,2,1,5,3,5,4,5
333,1,0,3,4,1,0,1,0,1
340,1,0,3,4,1,2,6,7,0
342,1,0,3,2,1,0,1,0,8
344,0,1,0,0,4,1,4,1,2
345,0,1,0,0,4,1,4,1,2
347,1,0,3,4,1,0,1,8,9
349,0,1,0,0,4,1,4,1,2
353,0,1,0,0,0,1,2,2,7
354,0,1,0,0,4,1,4,1,2
355,1,0,3,4,1,0,1,0,1
356,1,0,3,2,1,0,1,0,8
359,1,0,3,4,1,2,6,7,0
362,1,0,3,4,1,0,1,0,1
363,1,0,3,2,1,0,1,8,8
369,1,0,3,4,1,0,1,8,9
371,0,1,0,0,4,1,4,1,2
373,0,1,0,0,4,1,4,1,2
374,0,1,0,0,4,1,4,1,2
375,1,0,3,4,1,0,1,8,9
378,1,0,3,4,1,2,6,7,0
382,0,1,0,0,4,1,4,1,2
383,0,1,0,0,4,1,4,1,2
384,1,0,3,4,1,0,1,8,9
387,1,0,3,4,1,0,1,8,9
388,0,1,0,0,4,1,4,1,2
390,1,0,3,4,1,0,1,0,1
394,1,2,1,3,3,4,3,3,4
402,0,1,0,0,0,1,2,2,7
404,1,0,3,4,1,0,1,0,1
407,1,0,2,1,5,3,5,4,5
408,0,1,0,0,0,1,2,2,7
410,1,2,1,3,3,4,3,3,4
412,0,1,0,0,4,1,4,1,2
414,0,1,0,0,4,1,4,1,2
415,1,0,2,1,1,5,0,6,6
416,1,0,3,4,1,0,1,0,1
417,1,0,2,1,1,5,0,6,6
420,1,0,3,4,1,0,1,8,9
421,1,0,3,4,1,0,1,0,1
423,1,2,1,2,2,6,7,5,8
426,1,0,3,4,1,0,1,0,1
428,1,0,3,4,1,0,1,0,1
429,1,2,1,3,2,6,7,5,3
432,1,0,3,4,1,0,1,0,1
433,1,0,2,1,5,3,5,4,5
436,1,0,3,4,1,0,1,8,9
440,0,1,0,0,0,1,2,2,7
441,1,0,3,2,1,0,1,0,8
443,1,0,3,4,1,0,1,0,1
444,1,0,3,2,1,0,1,0,8
445,0,1,0,0,0,1,2,2,7
447,0,1,0,0,4,1,4,1,2
448,0,1,0,0,4,1,4,1,2
449,1,0,3,4,1,2,6,7,0
453,1,0,3,4,1,0,1,0,1
456,1,0,3,4,1,2,6,7,0
457,0,1,0,0,4,1,4,1,2
458,1,0,3,4,1,0,1,0,1
459,1,0,3,4,1,0,1,0,1
460,1,0,3,4,1,0,1,0,1
461,1,0,3,4,1,0,1,0,1
462,0,1,0,0,0,1,2,2,7
466,1,2,1,3,3,4,3,3,4
469,0,1,0,0,4,1,4,1,2
471,0,1,0,0,4,1,4,1,2
474,1,0,3,2,1,0,1,0,8
477,0,1,0,0,4,1,4,1,2
478,1,0,3,4,1,0,1,0,1
480,1,0,3,4,1,0,1,0,1
482,1,0,3,4,1,2,6,7,0
485,1,0,3,4,1,0,1,0,1
488,0,1,0,0,4,1,4,1,2
489,1,0,3,4,1,0,1,8,9
490,1,0,3,4,1,0,1,0,1
492,1,0,2,1,1,0,1,8,9
493,1,0,3,4,1,2,6,7,0
496,0,1,0,0,4,1,4,1,2
500,1,2,1,3,2,6,7,5,3
501,1,0,3,4,1,0,1,0,1
502,1,2,1,3,2,6,7,5,3
513,0,1,0,0,4,1,4,1,2
514,1,0,3,4,1,2,6,7,0
515,0,1,0,0,4,1,4,1,2
517,1,0,3,4,1,0,1,8,9
523,1,0,3,4,1,0,1,0,1
527,1,2,1,3,2,6,7,5,3
530,0,1,0,0,4,1,4,1,2
533,0,1,0,0,4,1,4,1,2
535,1,0,3,4,1,0,1,0,1
537,1,0,3,4,1,0,1,8,9
538,0,1,0,0,4,1,4,1,2
543,1,0,3,4,1,2,6,7,0
544,1,0,3,4,1,0,1,0,1
547,1,0,3,4,0,2,6,7,0
548,1,2,1,3,2,6,7,5,3
549,0,1,0,0,4,1,4,1,2
550,0,1,0,0,4,1,4,1,2
551,0,1,0,0,4,1,4,1,2
553,0,1,0,0,4,1,4,1,2
554,1,0,3,4,1,0,1,8,9
555,1,0,3,4,1,0,1,8,9
558,1,0,3,4,1,0,1,0,1
560,0,1,0,0,4,1,4,1,2
561,1,0,3,2,1,0,1,0,8
564,1,0,2,1,5,3,5,4,5
566,1,0,3,4,1,0,1,0,1
567,1,0,2,1,1,5,0,6,6
568,0,1,0,0,0,1,2,2,7
571,1,0,3,4,1,0,1,8,9
572,1,0,3,2,1,0,1,0,8
573,1,0,3,4,1,0,1,0,1
576,1,0,3,4,1,0,1,8,9
577,1,0,2,1,5,3,5,4,5
578,1,0,3,4,1,0,1,0,1
579,1,0,3,4,1,0,1,8,9
580,1,0,3,2,1,0,1,0,8
581,1,0,3,4,1,0,1,8,9
582,1,0,3,4,1,2,6,7,0
583,1,0,3,4,1,0,1,0,1
584,0,1,0,0,0,1,2,2,7
586,1,0,3,4,1,0,1,0,1
587,1,0,3,4,1,0,1,0,1
588,1,0,3,4,1,0,1,0,1
591,1,0,2,1,1,0,1,0,1
596,1,0,2,1,5,3,5,4,5
598,0,1,0,0,4,1,4,1,2
599,1,2,1,3,2,6,7,5,3
600,1,0,3,4,1,0,1,0,1
602,1,0,3,4,1,0,1,0,1
606,1,0,3,4,1,0,1,8,9
609,1,0,3,2,1,0,1,8,9
611,1,0,3,4,1,0,1,0,1
614,1,2,1,3,2,6,7,5,3
618,1,0,3,4,1,0,1,0,1
622,1,0,3,4,1,0,1,0,1
623,1,0,3,4,1,0,1,0,1
626,1,0,3,2,1,0,1,0,8
627,1,0,3,4,1,0,1,8,9
631,1,0,3,2,1,0,1,0,8
633,1,0,3,4,1,0,1,0,1
635,1,0,3,4,1,0,1,0,1
636,0,1,0,0,4,1,4,1,2
639,0,1,0,0,0,1,2,2,7
640,1,0,3,4,1,0,1,0,1
641,1,0,3,2,1,0,1,0,8
645,0,1,0,0,4,1,4,1,2
647,1,0,3,4,1,0,1,0,1
648,1,0,3,4,1,0,1,0,1
649,1,0,3,4,1,0,1,0,1
650,1,0,3,4,1,0,1,0,1
651,1,2,1,2,2,6,7,5,8
652,1,0,3,4,1,0,1,0,1
653,0,1,0,0,0,1,2,2,7
654,1,0,3,4,1,0,1,8,9
656,1,0,3,2,3,4,3,3,2
657,1,0,3,4,1,0,1,0,1
658,1,0,3,4,1,0,1,0,1
659,1,0,3,4,1,0,1,0,1
661,1,0,3,4,1,0,1,0,1
662,1,0,3,4,1,0,1,0,1
663,1,0,3,4,1,0,1,0,1
667,1,0,3,2,1,0,1,0,8
668,1,0,3,4,1,0,1,8,9
669,0,1,0,0,4,1,4,1,2
673,1,0,3,2,1,0,1,0,8
674,0,1,0,0,4,1,4,1,2
679,1,0,2,1,1,5,0,6,6
681,1,0,3,4,1,0,1,8,9
682,1,0,2,1,1,5,0,6,6
686,0,1,0,0,0,1,2,2,7
687,1,0,3,4,1,0,1,8,9
688,1,0,3,4,1,0,1,0,1
689,1,0,3,2,1,0,1,8,8
690,0,1,0,0,0,1,2,2,7
692,1,0,3,4,1,0,1,0,1
694,1,2,1,3,3,4,3,3,4
695,1,0,3,4,1,0,1,8,9
697,1,2,1,3,2,6,7,5,3
701,1,0,3,4,0,2,6,7,0
702,1,0,2,1,5,3,5,4,5
706,1,0,2,1,1,5,0,6,6
708,1,0,3,4,0,2,6,7,0
710,1,0,3,4,1,0,1,0,1
712,1,0,2,1,1,5,0,6,6
714,1,0,3,4,1,0,1,0,1
715,1,0,3,4,1,2,6,7,0
717,1,0,3,4,1,0,1,0,1
718,1,0,3,4,1,2,6,7,0
720,1,0,2,1,1,5,0,6,6
725,1,0,3,4,1,0,1,0,1
726,0,1,0,0,0,1,2,2,7
730,1,0,3,4,1,0,1,8,9
731,1,0,3,4,1,0,1,0,1
732,1,2,1,3,2,6,7,5,3
734,1,0,3,4,1,0,1,8,9
735,1,0,3,4,1,0,1,8,9
737,0,1,0,0,4,1,4,1,2
738,1,0,3,4,1,0,1,0,1
740,1,0,3,2,1,0,1,0,8
741,1,0,3,4,1,0,1,0,1
746,1,0,3,4,1,0,1,0,1
748,1,0,2,1,5,3,5,4,5
753,0,1,0,0,4,1,4,1,2
754,1,0,2,1,5,3,5,4,5
757,1,2,1,3,2,6,7,5,3
758,0,1,0,0,4,1,4,1,2
759,0,1,0,0,4,1,4,1,2
760,1,0,3,4,1,0,1,0,1
761,1,0,3,2,1,0,1,0,8
767,1,0,3,4,1,0,1,0,1
768,1,0,2,1,1,5,0,6,6
771,1,0,3,4,1,0,1,8,9
772,1,2,1,3,2,6,7,5,3
775,1,0,2,1,1,5,0,6,6
782,1,0,3,4,1,2,6,7,0
783,1,0,3,2,1,0,1,0,8
784,1,2,1,3,3,4,3,3,4
785,0,1,0,0,0,1,2,2,7
787,1,0,3,4,1,0,1,8,9
789,1,0,3,4,1,0,1,0,1
790,1,0,3,4,1,0,1,0,1
791,1,0,3,4,1,0,1,0,1
792,1,0,3,4,1,0,1,0,1
793,1,0,3,4,0,2,6,7,0
795,1,2,1,3,2,6,7,5,3
797,0,1,0,0,4,1,4,1,2
798,1,2,1,3,2,6,7,5,3
799,1,0,2,1,1,5,0,6,6
800,0,1,0,0,4,1,4,1,2
806,1,0,3,4,1,0,1,8,9
807,1,0,3,4,1,0,1,0,1
808,0,1,0,0,4,1,4,1,2
811,0,1,0,0,4,1,4,1,2
812,0,1,0,0,4,1,4,1,2
813,1,0,3,4,1,0,1,0,1
814,1,0,3,4,1,0,1,8,9
815,1,2,1,3,2,6,7,5,3
816,1,0,3,4,1,0,1,0,1
818,0,1,0,0,0,1,2,2,7
820,1,0,2,1,1,5,0,6,6
822,1,2,1,3,3,4,3,3,4
823,1,0,3,4,1,0,1,0,1
827,1,0,3,4,1,0,1,0,1
828,1,0,3,4,1,0,1,0,1
829,1,0,3,4,1,0,1,8,9
834,1,0,2,1,5,3,5,4,5
835,1,0,3,2,1,0,1,0,8
836,0,1,0,0,0,1,2,2,7
838,1,0,3,4,1,0,1,0,1
846,0,1,0,0,4,1,4,1,2
847,1,0,2,1,1,5,0,6,6
849,1,2,1,3,2,6,7,5,3
850,1,0,3,4,1,0,1,0,1
851,1,0,3,4,1,0,1,0,1
852,0,1,0,0,4,1,4,1,2
857,1,0,3,2,1,0,1,0,8
858,1,0,3,2,1,0,1,0,8
859,1,0,3,4,1,0,1,0,1
860,1,0,3,4,1,0,1,0,1
862,1,0,3,2,1,0,1,0,8
863,1,0,3,4,1,0,1,0,1
864,1,0,3,4,1,0,1,0,1
868,1,0,3,4,1,0,1,0,1
869,1,0,3,4,1,0,1,8,9
877,1,0,3,4,1,0,1,0,1
878,0,1,0,0,4,1,4,1,2
881,1,0,3,4,1,0,1,0,1
882,0,1,0,0,4,1,4,1,2
885,1,0,2,1,1,5,0,6,6
887,0,1,0,0,4,1,4,1,2
888,1,0,3,4,1,0,1,0,1
889,1,2,1,3,2,6,7,5,3
891,1,0,3,4,1,0,1,0,1
898,1,0,3,4,1,0,1,8,9
903,1,0,2,1,1,0,1,0,1
904,1,2,1,3,2,6,7,5,3
906,1,0,3,4,1,0,1,8,9
907,1,0,3,4,1,0,1,0,1
908,1,0,3,4,1,0,1,0,1
909,0,1,0,0,0,1,2,2,7
910,0,1,0,0,4,1,4,1,2
911,1,0,3,4,1,0,1,0,1
913,1,0,3,4,1,0,1,0,1
916,1,0,3,4,1,0,1,0,1
920,1,0,2,2,1,5,0,6,8
924,1,0,3,4,1,0,1,8,9
925,1,0,3,4,1,0,1,0,1
927,1,0,3,4,1,0,1,0,1
928,1,2,1,3,3,4,3,3,4
932,1,0,3,4,1,0,1,0,1
933,1,0,2,1,5,3,5,4,5
934,1,0,2,1,5,3,5,4,5
935,1,0,3,4,1,0,1,0,1
936,1,0,3,4,1,0,1,0,1
940,0,1,0,0,4,1,4,1,2
942,0,1,0,0,0,1,2,2,7
943,0,1,0,0,4,1,4,1,2
944,1,0,3,4,1,0,1,0,1
945,0,1,0,0,4,1,4,1,2
948,0,1,0,0,4,1,4,1,2
949,1,0,3,4,1,0,1,0,1
958,1,0,3,4,1,0,1,0,1
959,1,0,3,4,1,2,6,7,0
961,1,0,3,4,1,0,1,8,9
962,1,0,3,4,1,0,1,8,9
