ID,tsne1,tsne2
1,-41.873604,21.591518
3,-5.5207086,29.02383
4,-13.199619,-1.9762161
8,2.8596742,20.873688
10,3.0946963,-10.922799
13,-9.724288,34.715668
14,-26.920624,11.428164
18,-19.211319,-33.865463
20,18.241749,-21.052834
23,17.510714,-17.113504
25,-6.45796,0.17791918
26,24.712883,-21.563828
29,27.003452,3.4577653
31,3.6231422,-9.326578
32,8.115289,4.694399
34,24.344742,21.939457
36,-5.7420926,48.1189
39,7.2118735,1.5136373
42,-6.6711984,-3.589275
43,16.120796,18.003632
45,-23.991793,21.61649
49,5.8717556,-39.918114
51,-35.09023,0.75774956
54,-0.44767672,-10.890556
56,-23.474907,-19.585032
60,-7.9170837,-1.581263
61,12.5453825,42.057716
66,-32.22545,-22.292864
68,7.6204495,37.94996
74,22.906584,5.119911
75,17.12861,-22.268118
77,4.392244,-42.177197
80,32.993427,34.658775
82,-3.4428594,17.790424
83,-22.545116,-0.9037155
84,5.944677,-30.67698
87,-11.746731,29.583456
88,-30.455883,11.004259
90,-20.180496,26.421366
91,23.114573,-21.101023
92,11.06833,-36.303856
93,22.77814,-8.1708145
95,14.453738,22.573072
101,-7.5213623,-24.814365
102,7.1360993,-7.7257047
105,-4.744052,31.850145
106,8.52399,28.591898
107,-11.402994,-20.677544
109,22.851044,-13.144389
111,-13.644507,-26.481215
113,37.102287,12.365517
115,-14.63699,5.308202
118,-0.08693785,29.26034
122,30.496746,-27.437254
125,-31.258596,-20.306202
127,-0.8639871,19.946297
130,-25.95277,34.068058
131,-12.383251,-8.49101
132,18.76134,11.507342
134,11.642495,-19.18032
135,8.126396,-1.3569442
136,-0.7007627,6.624893
137,-6.3175855,36.33536
139,35.678917,2.732274
140,38.09973,-20.774345
141,0.0055895736,26.565168
142,-40.600983,22.177671
143,-30.601091,37.756077
144,16.999212,-24.386469
145,-26.487484,27.365833
146,-39.927853,9.08854
148,-15.305683,12.9156275
150,9.94762,-32.99525
151,-39.922806,-15.067884
152,33.72363,-21.08154
153,8.615085,-11.9568
154,-14.43262,45.76878
155,15.360805,-7.6942744
156,27.935684,-28.038523
