ID,dmitry_adaboost_classifier
1,83886.475
3,86741.45
4,30724.175
8,118925.4
10,50265.1
13,72353.3
14,84691.225
18,71468.725
20,141154.15
23,52977.2
25,93656.6
26,124228.85
29,81502.425
31,8701.1
32,98161.9
34,105466.15
36,148318.825
39,53178.575
42,4403.1
43,97444.525
45,77734.5
49,99061.325
51,121770.725
54,123829.5
56,148319.15
60,15938.5
61,75276.45
66,114685.45
68,50283.65
74,13832.05
75,4181.55
77,148905.85
80,118553.0
82,74106.15
83,123919.75
84,76938.75
87,149136.375
88,134047.55
90,14678.55
91,47571.575
92,140495.75
93,1039.55
95,48363.975
101,54513.675
102,107885.45
105,71830.875
106,24993.025
107,31842.05
109,15728.2
111,138443.65
113,34826.65
115,1667.725
118,145685.75
122,53.1
125,85949.775
127,19740.425
130,130768.2
131,117976.7
132,95964.65
134,7610.35
135,59292.35
136,105568.125
137,84606.275
139,114168.075
140,43185.5
141,141241.825
142,84470.7
143,32858.675
144,58060.85
145,105496.025
146,10407.675
148,95569.7
150,114100.7
151,52869.875
152,99715.875
153,63624.1
154,149824.825
155,17107.875
156,35280.9
157,23067.925
159,95962.65
161,59045.575
162,124409.375
163,5578.5
165,19554.925
166,59813.125
169,79348.975
170,28320.95
171,137251.125
172,113676.7
173,1410.275
175,21994.0
176,72740.5
177,107743.75
178,9707.0
179,46004.875
180,51453.825
182,151019.975
183,95626.3
184,6710.325
186,34525.8
188,70073.65
191,47803.825
192,12729.525
193,5906.15
195,107205.45
196,99874.95
199,125267.65
200,59722.025
202,145707.575
203,146021.025
204,111473.5
206,90547.95
207,39480.25
209,109846.25
210,37724.075
212,89790.4
213,109358.55
214,69285.925
215,100600.65
217,71469.225
218,114136.4
220,33277.5
221,59021.225
222,106126.875
225,43505.45
227,12484.45
228,81869.6
231,64890.85
232,93229.8
233,33069.35
234,3896.875
235,81089.475
236,119914.1
239,34167.275
241,48397.225
242,21120.325
244,78142.8
252,86637.175
253,65302.5
254,74450.25
258,139042.975
259,121103.275
262,35940.375
265,134487.15
266,116384.4
269,81928.675
270,57660.0
271,109605.7
273,5624.0
276,97777.925
279,98290.975
285,99380.75
287,101851.95
288,113991.975
289,15742.825
292,146419.975
294,151372.65
296,11366.75
299,19791.625
301,43139.4
302,105763.2
303,140869.025
306,142193.8
307,57876.2
311,88493.025
314,71487.3
316,22732.65
319,137931.05
320,37772.075
322,48755.775
324,137144.275
332,40348.85
333,35466.425
340,41442.85
342,34458.725
344,58975.65
345,80242.475
347,12235.15
349,59167.2
353,147984.725
354,97447.725
355,65495.325
356,75196.35
359,525.675
362,46829.85
363,113590.15
369,31812.325
371,136707.075
373,131790.35
374,140656.25
375,55046.75
378,91574.6
382,58823.875
383,93162.425
384,118007.0
387,33797.325
388,83251.3
390,20849.2
394,114245.8
402,66564.85
404,33634.8
407,26637.55
408,138268.325
410,75804.6
412,145996.175
414,65270.75
415,7509.1
416,53076.225
417,40604.05
420,124429.35
421,13685.475
423,89001.65
426,72066.775
428,20309.55
429,67763.7
432,16743.925
433,10502.85
436,11989.3
440,142528.025
441,14448.0
443,12801.75
444,101453.0
445,80459.025
447,81960.2
448,91625.575
449,30318.45
453,61587.625
456,123925.375
457,135319.4
458,116336.975
459,31783.775
460,26551.225
461,123329.45
462,70117.625
466,76446.75
469,91037.975
471,83477.675
474,128071.875
477,137143.675
478,90890.9
480,65635.15
482,87128.275
485,62616.175
488,82354.925
489,30108.8
490,22066.575
492,3563.3
493,119048.475
496,76450.0
500,42203.3
501,33541.275
502,96995.75
513,138574.575
514,133341.75
515,106424.2
517,31869.375
523,13219.275
527,36173.45
530,138180.075
533,131116.15
535,47123.35
537,106791.55
538,148529.225
543,1558.2
544,83219.0
547,1151.025
548,118187.55
549,131834.8
550,148097.225
551,146372.825
553,124978.325
554,51931.3
555,106574.025
558,28005.925
560,91978.5
561,49872.9
564,36342.25
566,69677.375
567,662.1
568,71615.25
571,95263.05
572,36698.8
573,10645.65
576,63761.9
577,53057.85
578,117647.35
579,88641.275
580,19226.05
581,43776.575
582,1629.775
583,34035.85
584,137738.05
586,109992.525
587,61235.975
588,118197.25
591,3977.8
596,21786.825
598,137061.55
599,112151.2
600,139042.675
602,100187.35
606,112961.7
609,44197.85
611,72075.2
614,81334.0
618,8958.05
622,13065.2
623,15434.0
626,107521.55
627,41224.875
631,148583.9
633,73335.425
635,72183.6
636,140858.1
639,128173.05
640,10808.275
641,95110.05
645,95601.55
647,123583.175
648,29718.025
649,92159.6
650,36898.75
651,120639.85
652,52157.75
653,146112.15
654,77204.15
656,113759.0
657,111728.925
658,49392.8
659,19677.725
661,97323.675
662,109897.1
663,70702.6
667,16890.825
668,110270.625
669,140773.075
673,106322.35
674,92966.45
679,14945.125
681,63229.75
682,16140.4
686,132429.35
687,48642.525
688,23303.475
689,102613.2
690,143191.6
692,121694.125
694,57590.55
695,31292.3
697,132866.45
701,119179.3
702,73516.15
706,53526.15
708,1747.25
710,58645.95
712,38601.6
714,74817.2
715,48976.05
717,46369.475
