# kNN_Marios_1 NN_Marios_1
8.340000000000001579e-02 3.505785176530480662e-02
6.300000000000002646e-03 1.452682212038780476e-03
6.100000000000002989e-03 5.620843814685941471e-03
3.380000000000001059e-02 2.290131008252501224e-02
9.700000000000003758e-03 2.146552135927776769e-03
5.220000000000002416e-02 2.858117284253239299e-02
1.080000000000000404e-02 1.509098070673644751e-02
1.090000000000000344e-02 8.545219050720333914e-03
1.730000000000000149e-01 1.073292567580938356e-01
9.200000000000003314e-03 1.094411289319395866e-02
4.010000000000001064e-02 2.168896975461393622e-02
2.410000000000000683e-02 3.357654267922043079e-02
2.910000000000001474e-02 3.970924377441406583e-02
8.100000000000001296e-03 1.200724539658040279e-03
5.790000000000002783e-02 2.742027731612324895e-02
1.050000000000000239e-02 2.093551099300385021e-02
1.723000000000000087e-01 1.074548631906509372e-01
1.910000000000000239e-02 1.619128825142979872e-02
2.050000000000000780e-02 3.071111256256699867e-02
5.000000000000001839e-03 1.202013821341097605e-02
5.350000000000001282e-02 3.093584528192877547e-02
7.000000000000001880e-03 1.330025167204439661e-02
1.000000000000000368e-02 7.850368099752813578e-03
1.090000000000000344e-02 2.721479154191911581e-02
1.683999999999999664e-01 1.319327194243669621e-01
6.090000000000003050e-02 1.885936895022655060e-04
2.960000000000001519e-02 2.637730076909065163e-02
4.110000000000001152e-02 3.879040554165839871e-02
5.900000000000002465e-03 1.004631755873560892e-02
2.880000000000001309e-02 2.310480786487460053e-02
3.010000000000001563e-02 2.153964396849339482e-06
2.086000000000000354e-01 1.089350379258394313e-01
3.250000000000001499e-02 3.405016437172890542e-02
2.270000000000000490e-02 1.958712310530245221e-02
2.430000000000000909e-02 6.972793329507112614e-02
2.190000000000000627e-02 2.225334759801626469e-02
1.913000000000000256e-01 1.238120372593402713e-01
3.590000000000000135e-02 3.909993831068277192e-02
6.200000000000002384e-03 9.149385853670536500e-03
7.500000000000002325e-03 8.006165912374855337e-03
1.236000000000000432e-01 9.049790330231191615e-02
8.100000000000003031e-03 8.417456736788153301e-03
3.200000000000001454e-03 7.458081101067363765e-03
6.100000000000002989e-03 1.038046354427933637e-02
3.980000000000000898e-02 3.248002692942700122e-07
4.170000000000000789e-02 2.760446403175592645e-02
8.700000000000002870e-03 9.689517472870647075e-03
6.700000000000002828e-03 9.320692522305761571e-04
9.800000000000003153e-03 1.162697233259677755e-02
1.816000000000000114e-01 1.020177359879016893e-01
6.300000000000001779e-03 6.994507158378836589e-04
1.290000000000000521e-02 1.010016310028731892e-02
1.583999999999999853e-01 8.785257577896116166e-02
5.440000000000002472e-02 8.033306506445657185e-07
1.550000000000000336e-02 1.330634731799364145e-02
9.100000000000002184e-03 6.243363961111753589e-03
1.110000000000000396e-02 5.410983841866254945e-02
2.930000000000001353e-02 2.650831285864114345e-02
1.120000000000000336e-02 2.864842098206281037e-02
5.700000000000001940e-03 7.136520813219249249e-03
2.050000000000000780e-02 2.528678135946392860e-02
2.740000000000001462e-02 2.894693715032189973e-02
5.560000000000002440e-02 3.051077449694276217e-02
2.500000000000000486e-02 2.666831547394394805e-02
6.700000000000002828e-03 8.136356058530507668e-03
2.087000000000000244e-01 1.125371944904327293e-01
2.070000000000000312e-02 1.486965809017419884e-02
2.260000000000000550e-02 9.771400084719062892e-03
6.600000000000003433e-03 1.773577066138386921e-02
6.980000000000001481e-02 4.000374492257834091e-02
6.200000000000001517e-03 9.497554581612350361e-03
9.380000000000002225e-02 3.353352009318769089e-02
4.520000000000001100e-02 4.273578220745548675e-03
2.220000000000000445e-02 1.325175155885517653e-02
1.260000000000000529e-02 1.536203174851835142e-02
7.700000000000002849e-03 2.777777246083132541e-03
1.524000000000000077e-01 9.318875037133693418e-02
1.500000000000000682e-03 9.185570571571589210e-03
6.500000000000000569e-03 7.013615434989335304e-03
3.000000000000001363e-03 6.088308966718613754e-03
1.750000000000000513e-02 1.054227784276008835e-02
1.400000000000000376e-02 1.574860503897070746e-02
4.520000000000001100e-02 3.759053222835063990e-02
6.000000000000000559e-04 2.332040277156011208e-04
1.450000000000000247e-02 5.720230434089900069e-03
